"Geo_Code","Prov_Name","CSD_Name","total_pop","median_income","female_ratio","0_14y_ratio","15_24y_ratio","25_44y_ratio","45_over_ratio","non_movers_ratio","trade_cert_ratio","non_uni_dip_ratio","uni_dip_ratio","total_postsec_ratio","primary_ind_ratio","year","period"
"1003018","Newfoundland and Labrador","MILLTOWN-HEAD OF BAY D'ESPOIR"," 1376","20459",0.4928,0.3261,0.1884,0.2754,0.2065,0.8115,0.026,0.1623,0.039,0.2273,0.0455,1981,0
"1003019","Newfoundland and Labrador","ST. ALBAN'S"," 1968","14007",0.4848,0.3299,0.2107,0.2284,0.2335,0.8713,0.0563,0.0986,0.0094,0.1643,0.1048,1981,0
"1003020","Newfoundland and Labrador","MORRISVILLE","233","  0",0.5106,0.2979,0.234,0.234,0.1915,0.8125,0.08,0.08,0,0.16,0,1981,0
"1003021","Newfoundland and Labrador","DIVISION NO. 3, SUBD. E","219","  0",0.5116,0.3488,0.2093,0.186,0.3256,0.7436,0,0.0769,0,0.0769,0,1981,0
"1003024","Newfoundland and Labrador","DIVISION NO. 3, SUBD. F","234","  0",0.5106,0.3617,0.2553,0.2128,0.1702,0.7317,0,0.0833,0,0.0833,0,1981,0
"1003026","Newfoundland and Labrador","RAMEA"," 1386","21421",0.5054,0.3466,0.213,0.2563,0.1877,0.7686,0.0132,0.1325,0.0464,0.1921,0.02,1981,0
"1003028","Newfoundland and Labrador","BURGEO"," 2504","19742",0.482,0.336,0.2,0.284,0.182,0.8086,0.0181,0.1011,0.0253,0.1444,0.0573,1981,0
"1003031","Newfoundland and Labrador","DIVISION NO. 3, SUBD. H"," 1040","16314",0.4785,0.3636,0.1818,0.3062,0.1627,0.712,0,0.1217,0.0174,0.1391,0.0482,1981,0
"1003032","Newfoundland and Labrador","ISLE AUX MORTS"," 1238","21711",0.4879,0.3427,0.2298,0.254,0.1694,0.8412,0.0236,0.0945,0.0551,0.1732,0.0196,1981,0
"1003033","Newfoundland and Labrador","BURNT ISLANDS","  991","22635",0.4798,0.3636,0.2071,0.2626,0.1717,0.7273,0.0192,0.0577,0.0481,0.125,0.0345,1981,0
"1003034","Newfoundland and Labrador","CHANNEL-PORT AUX BASQUES"," 5988","19394",0.4987,0.2811,0.2018,0.2911,0.226,0.7344,0.0359,0.1559,0.0248,0.2166,0.0232,1981,0
"1003038","Newfoundland and Labrador","DIVISION NO. 3, SUBD. I","  268","12512",0.4815,0.3333,0.1481,0.2407,0.2593,0.84,0,0.0645,0.0645,0.129,0.5625,1981,0
"1003042","Newfoundland and Labrador","DIVISION NO. 3, SUBD. J","236","  0",0.5,0.3333,0.1875,0.2708,0.2083,0.875,0,0.0714,0.0714,0.1429,0,1981,0
"1003045","Newfoundland and Labrador","ROSE BLANCHE-HARBOUR LE COU","  975","11329",0.4667,0.2821,0.1538,0.2821,0.2923,0.8548,0,0.048,0,0.048,0.0597,1981,0
"1004001","Newfoundland and Labrador","DIVISION NO. 4, SUBD. A"," 2325","14867",0.4796,0.3269,0.2022,0.2473,0.2237,0.735,0.0279,0.1554,0.012,0.1952,0.12,1981,0
"1004006","Newfoundland and Labrador","DIVISION NO. 4, SUBD. B"," 2001","14991",0.4837,0.2757,0.203,0.2356,0.2882,0.7098,0.0249,0.1079,0.0664,0.1992,0.3309,1981,0
"1004011","Newfoundland and Labrador","DIVISION NO. 4, SUBD. C"," 1370"," 8850",0.4835,0.37,0.1685,0.2637,0.2088,0.7568,0.0203,0.1149,0,0.1351,0.3226,1981,0
"1004013","Newfoundland and Labrador","ST. GEORGE'S"," 1756","14317",0.5014,0.302,0.2194,0.2365,0.245,0.8247,0.0743,0.1535,0.0446,0.2723,0.25,1981,0
"1004016","Newfoundland and Labrador","DIVISION NO. 4, SUBD. D","  871","11489",0.477,0.3333,0.2356,0.2184,0.2069,0.8165,0.0222,0.1778,0,0.2,0.0755,1981,0
"1004017","Newfoundland and Labrador","GALLANTS","102","  0",0.5,0.4,0.15,0.3,0.25,0.7059,0.1667,0,0,0.1667,0,1981,0
"1004018","Newfoundland and Labrador","STEPHENVILLE CROSSING"," 2172","14216",0.4989,0.2989,0.2092,0.2529,0.2437,0.7395,0.0234,0.1406,0.0469,0.2109,0.0692,1981,0
"1004019","Newfoundland and Labrador","STEPHENVILLE"," 8876","18957",0.5121,0.2963,0.2242,0.2817,0.1961,0.4929,0.0363,0.2417,0.0668,0.3448,0.0236,1981,0
"1004020","Newfoundland and Labrador","KIPPENS"," 1219","14834",0.5041,0.2746,0.2295,0.2787,0.2172,0.6933,0.0214,0.2,0.0357,0.2571,0,1981,0
"1004021","Newfoundland and Labrador","BERRY HEAD, PORT AU PORT","  877","18118",0.5,0.3011,0.2045,0.2841,0.2045,0.7,0.0714,0.2347,0.051,0.3571,0,1981,0
"1004022","Newfoundland and Labrador","DIVISION NO. 4, SUBD. E"," 2840","11152",0.4886,0.3866,0.2074,0.2355,0.1687,0.7382,0.0427,0.0605,0.0214,0.1246,0.274,1981,0
"1004033","Newfoundland and Labrador","CAPE ST. GEORGE AND OTHERS","1470","7866",0.4898,0.3639,0.2211,0.2415,0.1803,0.8551,0.0139,0.1181,0.0208,0.1528,0.2623,1981,0
